No,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
46,ITC,EQ,17-Oct-18,282.65,283.9,291.65,281.55,286.05,286.45,287.08,15307324,4394412360,209942,7129172,46.57
47,ITC,EQ,19-Oct-18,286.45,285,291.55,284.75,291,289.45,288.32,8032126,2315784333,111649,3886783,48.39
48,ITC,EQ,22-Oct-18,289.45,292,293.1,287.3,288.7,288.5,290.63,12484871,3628510822,137138,6229871,49.9
49,ITC,EQ,23-Oct-18,288.5,286,291.2,283.55,286.7,286,287.61,10843970,3118786520,99500,6378419,58.82
50,ITC,EQ,24-Oct-18,286,288.7,289.65,286.35,288.6,287.75,288.33,8690022,2505615940,81397,5461765,62.85
51,ITC,EQ,25-Oct-18,287.75,286,289.5,284.5,289.4,287.55,287.25,9584217,2753038731,88998,5850620,61.04
52,ITC,EQ,26-Oct-18,287.55,289.7,289.8,276,279.9,280.9,281.31,21475541,6041259668,186898,8026885,37.38
53,ITC,EQ,29-Oct-18,280.9,281.9,285.25,278.95,282,283.5,282.71,11342580,3206618791,112505,5949794,52.46
54,ITC,EQ,30-Oct-18,283.5,283.25,283.85,278,278.4,278.95,280.55,6847149,1920934425,83135,3897466,56.92
55,ITC,EQ,31-Oct-18,278.95,279.55,281,272.85,278.9,280.1,277.1,13501859,3741374192,134439,8282796,61.35
56,ITC,EQ,01-Nov-18,280.1,280,281.8,274.8,277.05,277.4,277.04,9452718,2618784124,84790,4957019,52.44
57,ITC,EQ,02-Nov-18,277.4,278.3,285.95,278.3,283.9,283.25,282.86,11644681,3293806976,92468,5434775,46.67
58,ITC,EQ,05-Nov-18,283.25,285.25,285.25,278.4,279.95,279.6,280.43,7381232,2069938752,83445,4494785,60.89
59,ITC,EQ,06-Nov-18,279.6,281.1,281.85,276.1,276.7,277.3,277.91,9766345,2714157418,104385,5840248,59.8
60,ITC,EQ,07-Nov-18,277.3,281,281,278.8,280.2,280.05,279.8,957139,267803896.4,16784,582956,60.91
61,ITC,EQ,09-Nov-18,280.05,279,279.7,275.9,276.6,277.25,277.48,15034793,4171859933,170785,11190455,74.43
62,ITC,EQ,12-Nov-18,277.25,277.8,278.2,273.25,274.2,273.85,275.29,7047500,1940133067,108289,4270652,60.6
